沧	滄
馍	饃
渍	漬
阎	閻
你	妳
肿	腫
竖	豎
渊	淵
侦	偵
桧	檜
堕	墮
葱	蔥
蜗	蝸
娄	婁
烨	燁
龟	龜
卷	捲
闽	閩
畅	暢
咙	嚨
祎	禕
绥	綏
钉	釘
纱	紗
鲸	鯨
侄	姪
哗	嘩
脐	臍
郁	鬱
鞑	韃
诵	誦
胀	脹
锛	錛
槟	檳
砖	磚
缉	緝
赉	賚
馅	餡
饺	餃
谌	諶
荆	荊
谒	謁
讷	訥
谭	譚
查	査
𪢠	囒
鹰	鷹
钩	鉤
歼	殲
纨	紈
删	刪
骧	驤
搁	擱
轩	軒
辕	轅
闰	閏
酱	醬
驴	驢
帧	幀
𫚭	鱲
沥	瀝
垩	堊
讳	諱
俪	儷
缀	綴
讣	訃
弯	彎
谥	謚
钥	鑰
讫	訖
滥	濫
𬣞	詝
蝉	蟬
骥	驥
秘	祕
缤	繽
鬓	鬢
铨	銓
泾	涇
辗	輾
坞	塢
搭	撘
镶	鑲
谕	諭
抵	牴
缎	緞
揽	攬
讼	訟
腻	膩
颖	穎
鸦	鴉
糖	醣
唠	嘮
鹌	鵪
鹑	鶉
饪	飪
捣	搗
疡	瘍
钞	鈔
鳕	鱈
局	侷
刮	颳
诟	詬
觊	覬
觎	覦
瘫	癱
痪	瘓
昆	崑
厉	厲
缪	繆
崭	嶄
谛	諦
馈	饋
驼	駝
铗	鋏
涟	漣
咸	鹹
驮	馱
骆	駱
悯	憫
诡	詭
缕	縷
晕	暈
出	齣
濑	瀨
润	潤
啰	囉
谏	諫
咏	詠
贷	貸
雳	靂
折	摺
纥	紇
掷	擲
埙	塤
颐	頤
鳗	鰻
鲡	鱺
合	閤
累	纍
修	脩
栅	柵
缮	繕
扫	掃

